Country Name,year,renewables_diff,co2_diff,gdp_diff
United Arab Emirates,2001,0.0,-4.768755000000002,-2486.051760595292
Argentina,2001,2.0402477590373456e-07,-0.26354169999999977,-382.2278769657987
Australia,2001,-2.6003931912330095e-08,0.18145999999999773,1104.1487081264022
Austria,2001,-1.6167264176644945e-07,0.4658390000000008,341.66491156769916
Azerbaijan,2001,-3.019665015747355e-08,-0.19755460000000014,389.1874927130898
Belgium,2001,2.6639557639713335e-09,-0.10617799999999988,1008.4886972206004
Bangladesh,2001,1.6915521704825684e-09,0.029815019999999998,85.68240018414986
Bulgaria,2001,-1.1588561010918196e-07,0.49645099999999953,538.2915617461604
Belarus,2001,3.1607301132016174e-10,-0.06142869999999956,442.44638810564993
Brazil,2001,-2.2361075972366326e-07,0.008622399999999919,211.87677786495988
Canada,2001,-9.159151349564569e-07,-0.44209299999999985,868.7646075976008
Switzerland,2001,5.936958533445019e-07,0.16721019999999953,1127.7204518313956
Chile,2001,1.706353963324367e-07,-0.3994122,399.96315113021046
China,2001,4.208901342745054e-08,0.041447699999999976,290.98368390534006
Colombia,2001,8.10017942988869e-09,-0.01611230000000008,158.95219888595966
Cyprus,2001,0.0,-0.2587633999999994,1577.548828125
Czechia,2001,2.9614612629407247e-08,-0.003056000000000836,1382.5375994084989
Germany,2001,1.3799129711894182e-08,0.18035700000000077,1209.4084416365004
Denmark,2001,4.74307319591466e-08,0.2603749999999998,820.4242471462021
Algeria,2001,4.5492345406840697e-10,0.00829190000000013,356.70445003245914
Ecuador,2001,-5.216270949390263e-08,0.16383389999999998,270.62258764520993
Spain,2001,3.276246910599975e-07,0.0007323000000001301,1377.2231774452011
Estonia,2001,-2.1769836585011368e-08,0.3578709999999994,887.5008158234596
Finland,2001,-3.630150069781428e-07,1.0359239999999996,1023.9104859814979
France,2001,1.2758461841568052e-07,0.023853400000000136,1347.8648875586005
United Kingdom,2001,-6.852870807818359e-09,0.113232,1385.6782670389985
Greece,2001,-1.1356887500055489e-07,0.16697899999999954,1490.2520509224996
Croatia,2001,2.2562533061893374e-07,0.2877067999999996,982.0258689636994
Hungary,2001,1.4288730345673136e-09,0.16917999999999989,1357.1436446422995
Indonesia,2001,1.183537272840581e-08,0.14497949999999982,209.51637449600003
