Ülke,Yenilenebilir CAGR (%),CO2 Değişimi (%),Yenilenebilir-GSYİH Korelasyonu
Turkey,5.458024713911036,40.875620476063624,0.9233955063220842
Poland,14.097914613922736,-10.060645984219164,0.9800192235615485
Mexico,1.688497853194626,-6.273860892902951,0.7805966754306797
Indonesia,5.417287120871972,100.27656962420816,0.8999091329006842
Malaysia,5.056457489193944,53.689900752394834,0.9134595034157462
South Africa,10.249035950611042,-20.74344747477228,0.6506288006967158
China,11.196583387597547,191.0849419146168,0.9922323770293222
Germany,8.905931873936602,-35.8431980928637,0.9865952619157464
United States,3.8308935106420083,-33.030653440491584,0.9681252901308122
Denmark,7.025082692128648,-54.9217079019244,0.9799144132312713
Finland,2.2269643023191232,-48.74743573484212,0.9252080629793517
Belgium,14.470742185339592,-42.41903318988186,0.9804729837103716
France,2.5806224033926295,-39.933924867056355,0.8931578900458023
Ireland,9.692308764361513,-44.318173223709316,0.9342961404127811
Sweden,0.6575314889066375,-44.04165940855715,0.7583879393962494
Greece,8.144577905329387,-43.57300838391122,0.8094594170762017
Luxembourg,6.296445928859362,-47.30770425730334,0.9132906848360712
Portugal,4.225905864599788,-44.100680804617596,0.7798038010928352
